text,category,priority
I would like to request an official physical copy of the student handbook from the administration office.,Administration,Low
my application to the graduate program is showing as 'missing' even though i have a confirmation email from your office. the deadline is tonight.,Admissions,High
urgent transcript needed today for job verification,Administration,High
"hi, r there any student jobs in the library that involve just dusting the old books? id love that.",Library,Low
I am calm but the university's system for verifying graduation requirements is showing a missing credit for a course i completed last year.,Academic,High
i'm having trouble with the university's website. it's very slow and some pages aren't loading at all.,Technical,Medium
I noticed that the temperature in the student union is very low today. Is the heating system working?,Administration,Low
is there any way to get a certificate of participation for the volunteer event i did last month? i want it for my resume.,Administration,Low
"hi, i would like to appeal the grade I received in Bio 101. i believe my final project was graded incorrectly based on the rubric.",Academic,Medium
when is tuition deadline?,Finance,Low
how do i request a replacement for my student id card if it's just cracked but still works for now?,Administration,Low
hey can i get a new mattress for my dorm? this one is really uncomfortable and my back hurts.,Housing,Medium
I am an international applicant and I'm having trouble with the document upload feature on the portal.,Admissions,Medium
The microfilm reader in the archives is making a loud screeching noise. It's really loud in the quiet zone.,Library,Medium
i want to know the deadline for submitting my final grades for the fall semester.,Academic,Low
I am having trouble with the online payment system for the graduation fee. It keeps giving me an error message.,Finance,Medium
The library is closed today but I have a book due. Will I be charged for a late return?,Library,Low
The student portal keeps crashing when I try to pay my tuition. the deadline is in two hours and i don't want to lose my spots in my program classes.,Technical,High
PLEASE HURRY THE PRINTER IN THE LIBRARY IS SMOKING AND I NEED TO PRINT MY FINAL PROJECT NOW!!!!!!!,Library,Medium
I would like to request an official letter confirming my student status for a potential employer.,Administration,Low
"the wifi in the laundry room is super slow today, can someone look at the router in block c?",Technical,Low
admission form missing signature,Admissions,Medium
Is there a policy about bringing a microwave to the dorm? My parents are buying me one this weekend.,Housing,Low
ID card replacement not processed yet,Administration,Medium
The bursar's office has charged me $500 for a meal plan that i never signed up for. i need this corrected before my bill is due.,Finance,Medium
Is there any way to extend the due date for my library books? I'm currently away for a family funeral.,Library,Medium
I am an international applicant and I'm having trouble with the document upload feature on the graduate student portal.,Admissions,Medium
I would like to request a copy of the university's strategic plan.,Administration,Low
PLEASE RESPOND ASAP I NEED TO KNOW IF I CAN BRING MY CAT TO THE DORM IF I HAVE A DOCTORS NOTE!!!!!!!,Housing,Medium
I would like to request a new key for my dorm room as mine is bent.,Housing,Medium
i'm having trouble with the university's email on my phone it's not syncing any of my new messages from my prof.,Technical,Medium
HELP MEEEEE I THINK I LEFT MY PURSE IN THE LIBRARY AND I HAVE NO MONEY TO GET HOME PLEASE LOOK FOR IT!!!!!!!,Library,Medium
invoice details confusing need explanation,Finance,Medium
I was wrongly deregistered from all my courses today. I need to be reinstated before the semester starts tomorrow.,Academic,High
Someone broke into my dorm room and stole my laptop. I need the security footage and the locks changed today.,Housing,High
I ACCIDENTALLY DELETED MY ENTIRE INBOX AND I NEED MY TAX FORMS RIGHT NOW!!!!!!!!,Technical,Medium
What is the official policy on students wearing rollerblades inside the Finance Office lobby?,Finance,Low
There is a massive flood in the basement of the library building! Water is pouring in from the ceiling!,Library,High
"Can't log into my student portal, MFA code missing.",Technical,High
can u guys tell me if the library has any copies of the latest hobbit movie? i wanna watch it tonight.,Library,Low
course registration shows outdated availability,Academic,Medium
I would like to request a copy of the university's policy on student research from the academic office.,Academic,Low
I'm having trouble with the online portal for my student parking permit renewal account.,Administration,Low
"my financial aid award was reduced by $3,000 without any explanation and my tuition is due tomorrow morning.",Finance,High
I would like to inquire about the requirements for the study abroad program in London for the next semester.,Academic,Low
URGENT!!!!! IS THE COFFEE SHOP IN THE LIBRARY OPEN UNTIL MIDNIGHT TONIGHT I REALLY NEED A LATTE FOR MY ALL NIGHTER!!!!!,Administration,Low
Can't access the campus Wi-Fi network even after resetting my password.,Technical,High
hi i need to drop a course but i keep getting a 'Departmental Permission Required' error even though the class is open.,Academic,Medium
the automatic doors at the library entrance are staying open too long and it's making the lobby freezing cold.,Library,Medium
admissions portal application status partially updated,Admissions,Medium
"I received an email stating that my student account has been blocked because of an unpaid library fine, but I paid it weeks ago. I need this resolved so I can register for classes.",Library,Medium
admission portal document upload question,Admissions,Medium
I have been blocked from registering for my final semester because of a $0.05 library fine that I cannot pay online. Registration closes tonight.,Library,High
I am receiving a 'Forbidden' error when trying to access the student portal from my home network.,Technical,Medium
reset password link expires too quickly,Technical,Medium
HELP!!!! I ACCIDENTALLY SUBMITTED THE WRONG VERSION OF MY ESSAY AND THE PORTAL IS CLOSED!!!!!,Technical,Medium
The shower in my dorm room is not draining properly.,Housing,Medium
My veteran benefits were not processed and I am being told I will be dropped from all my classes in 48 hours.,Finance,High
"MFA missing, can't access portal.",Technical,High
the student portal says i owe $5000 but i already paid it via bank transfer on monday. here is the receipt.,Finance,Medium
my student id card is being used by someone else to access the women's dormitory. I am receiving alerts on my phone right now.,Administration,High
How can I request an official transcript if I'm no longer a student at the university?,Administration,Low
does the library have any copies of the latest harry potter book i want to read it for fun.,Library,Low
can i split my tuition payment?,Finance,Low
I noticed a small typo in the spelling of my middle name on the unofficial transcript. It should be 'Elizabeth' not 'Elisabeth'.,Academic,Medium
i need to report that my name is misspelled on the graduation certificates being printed tonight.,Administration,High
my student id card has been deactivated for no reason and i cannot get into the dining hall tonight. i am very hungry.,Administration,High
I'm curious if the academic office keeps records of the most popular student minors from the 1980s.,Academic,Low
I'm having trouble with the online registration for my spring classes. it keeps saying i have a hold but i don't.,Technical,Medium
hello i need to change my major from bio to chem but the online form is giving me an error code 502. help pls.,Academic,Medium
i need to verify my enrollment for my health insurance provider. could you send the document when possible?,Academic,Medium
The student health center pharmacy is locked and I can't get my insulin. The ID scanner is not responding to anyone.,Administration,High
i am calm but i was just notified that my graduation status was revoked due to a clerical error in my department. i need this fixed today as my family is already flying in.,Administration,High
i need help finding the citation for a book that doesnt have an author. it's for my project due next month.,Library,Low
i accidentally sent my social security number and passport photo to a phishing email that looked like the university login page.,Technical,High
I AM ABSOLUTELY LIVID!! THE VENDING MACHINE IN THE LIBRARY ATE MY $5 AND I AM SO HUNGRY I CANNOT CONCENTRATE ON MY WORK!!,Administration,Medium
Can I get a copy of the university's policy on student demonstrations?,Administration,Low
i want to know the policy for reserving a study room for a group project next week. thx.,Library,Medium
URGENT!!!!!!! I NEED TO KNOW IF I CAN BRING MY CAT TO THE CONVOCATION CEREMONY PLS RESPOND NOW I AM SO STRESSED!!!!!!!,Administration,Low
MY TRANSCRIPT IS TOTALLY WRONG I HAVE AN A IN PHYSICS NOT A B PLEASE FIX THIS RIGHT NOW I AM SO STRESSED!!!!!,Academic,Medium
academic office info on optional workshops,Academic,Low
i was just wondering if the university uses recycled paper for the diplomas? its for a project i'm doing.,Administration,Low
dorm access system not responding late night,Housing,High
My tuition payment is showing as 'rejected' even though I have the funds. Registration for my summer classes closes tomorrow.,Finance,High
emergency! i lost my wallet in the library and it had my room key and id inside. what do i do??,Library,High
"I am calm, but my diploma was issued with a major I never pursued. I need a corrected certificate sent before my visa interview tomorrow morning.",Administration,High
i'm having trouble connecting to the vpn from my home network. i need it for my lab report tonight.,Technical,Medium
urgent admin letter needed today for legal submission,Administration,High
I would like to know if the library has a copy of the textbook for 'Introduction to Philosophy'.,Library,Low
The admissions website is showing two different deadlines for the Early Action program. Which one is correct?,Admissions,Medium
transcript error preventing graduation clearance today,Administration,High
The student portal is down and I need to download my unofficial transcript for a job interview that starts in 20 minutes. Please help!,Technical,High
admissions portal showing incomplete uploaded documents,Admissions,Medium
I would like to request a copy of the university's policy on student conduct from the dean of students office.,Academic,Low
HELP ASAP!!! I recived an email saying my residency status changed to out-of-state but I've lived here for 10 years!! THIS IS SO WRONG!!,Admissions,Medium
The student portal is down and i wanted to start my research for a project due next friday. let me know when it is back up.,Technical,Medium
i'm having a hard time with the new course registration portal. it's not very user-friendly.,Academic,Medium
idk how to check my final grades from the last semester. where is the link?,Academic,Low
the main gate scanner isnt reading my car permit today. i had to wait 10 minutes for the guard. pls check the sensor.,Administration,Medium
My scholarship funds haven't been applied to my account yet and I have a hold on my registration. Classes start in two days.,Finance,High
I am writing to report that the vending machine in the basement took my $2 and didn't give me my soda. i would like a refund.,Finance,Low
ID card photo outdated needs update,Administration,Medium
PLEASE HELP ME I THINK I LEFT MY GLASSES IN THE LIBRARY AND I CANT SEE ANYTHING TO STUDY FOR MY EXAM ON MONDAY PLS PLS PLS!!!!!,Library,Medium
my student loan funds were sent to the wrong bank account by the university. i need to track these funds immediately for my tuition.,Finance,High
I'm having trouble with the online portal for my student containerization (Docker) account.,Technical,Medium
I am calm but i have been locked out of my dormitory for three hours and my insulin is in my room. it is currently midnight.,Housing,High
The software 'MatLab' isn't working on any of the library laptops today. It keeps saying 'License Error'.,Technical,Medium
Can I get a list of all the student organizations that are focused on community service?,Administration,Low
My laptop was stolen from the library ten minutes ago. It contains my only copy of my dissertation.,Technical,High
I noticed that the spelling of my name is incorrect on the official student portal. It's spelled 'Jonathon' instead of 'Jonathan'.,Administration,Medium
my last name is slightly off on official records,Administration,Medium
The Wi-Fi in the dorm is completely down and I have an online exam that starts in 15 minutes. Please help!,Technical,High
tuition invoice incorrect and payment due in 24 hours,Finance,High
Does the finance office have a preferred color of ink for students filling out paper forms?,Finance,Low
"My thesis advisor just informed me that my final defense is scheduled for tomorrow morning, but my access to the research server has been revoked. I need this restored immediately to present my findings.",Technical,High
there is a swarm of wasps coming through the air vent in room 205. we can't stay in the room.,Housing,High
My financial aid was suddenly revoked this morning and I have an eviction notice if I don't pay rent by tomorrow.,Finance,High
admissions portal showing incomplete application info,Admissions,Medium
I would like to know if there are any student positions available at the library for the upcoming summer break.,Library,Low
Refund stuck in tuition system.,Finance,High
finance office payment schedule inquiry,Finance,Medium
i just found a cat in the dorm hallway. it looks lost. what should i do with it??,Housing,Low
The graduation application portal is rejecting my final credits even though my advisor approved them. The window closes in 2 hours.,Academic,High
WHATS THE WIFI PASSWORD FOR THE ADMISSIONS OFFICE I AM HERE FOR AN INTERVIEW PLS HELP!!,Admissions,Medium
i need to change my major today or i will lose my full-ride athletic scholarship. the deadline is 5 pm.,Academic,High
library newsletter subscription question,Library,Low
my graduation application is showing as 'missing' even though i have a confirmation email. the deadline is tonight at midnight. i am calm.,Academic,High
I noticed that the vending machine in the basement of the library is out of bottled water.,Library,Low
the magnetic strip on my id card is worn out and it only works about half the time. can i get a replacement this week?,Administration,Medium
The university's portal for international student health insurance is rejecting my proof. The deadline is in 2 hours. i am calm.,Finance,High
application system logs out unexpectedly,Admissions,Medium
is there any way to get a pink id card instead of the standard blue one? i'd even pay extra for it.,Administration,Low
There is a persistent bug in the course registration portal where it drops my 'waitlisted' classes unexpectedly.,Technical,Medium
i'm having a hard time finding a specific journal in the library's online catalog. can u help?,Library,Medium
There is a typo on my name in the system. It should be spelled 'Jonathon' not 'Jonathan'.,Administration,Medium
I'm having trouble with the online portal for my student meal plan change account.,Housing,Medium
I noticed that the temperature in the student cafeteria is very high today. Is the air conditioning system even working today?,Administration,Low
Library app freezing now.,Library,Low
pls provide info on general certificate procedures,Administration,Low
I noticed an error on my graduate application where my residency status is wrong. I will be charged $10k extra tomorrow if not fixed.,Admissions,High
Can I get a list of all the student organizations that are focused on student volunteerism?,Administration,Low
I haven't heard back about my housing application and it's only one week until the semester starts. I have nowhere to stay.,Housing,High
I am having trouble with the online course registration portal. It keeps giving me an 'internal server error' message.,Technical,Medium
I am calm but my scholarship disbursement is late and i am about to be evicted because i can't pay my rent today.,Finance,High
I am unable to access the research database JSTOR. It says 'Access Denied' even though I am logged in through the campus VPN.,Library,Medium
How do I sign up for the university's newsletter for student events?,Administration,Low
refund request status unclear in system,Finance,Medium
The university's credit card portal for tuition is charging a 10% fee by mistake. i need this corrected before the midnight deadline.,Finance,High
"I am writing to mention that my final registration window for my senior courses closes in exactly 45 minutes, and the system is not recognizing my prerequisites. I am quite calm but require a manual override immediately.",Academic,High
I AM LITERALLY IN TEARS BECAUSE I DONT KNOW IF THE LIBRARY HAS A VIEW OF THE SUNSET!!!!!,Library,Low
i missed my visa interview because the university forgot to send me the necessary document. i need it reissued by tomorrow or my visa will be denied.,Admissions,High
"hi, i wud like to know if there r any discounts for student bus passes?",Administration,Low
I noticed that the light in the library is flickering and it's making it hard for me to concentrate on my reading.,Library,Low
"The bursar's office is showing a $1,000 late fee on my account even though i paid my tuition early. registration is today.",Finance,High
i'm calm but i need to report that the chemistry lab is currently filling with an unknown gas. i have evacuated the building and am waiting outside.,Housing,High
hey can i get a tour of the library tomorrow morning?,Library,Low
my financial aid package was reduced because of a typo in my parents' tax records. i need to appeal this before the deadline tonight.,Finance,High
refund request not yet updated in portal,Finance,Medium
OMGGGGG HEEEEEELP I NEED TO KNOW IF THE LIBRARY HAS A STAPLER RIGHT NOW PLS ASAP OR MY ESSAY WILL BE UNFINISHED!!!!!!!!!!,Library,Low
the library's digital collection is missing the 2023 volumes of 'Nature'. is there a subscription issue?,Library,Medium
I'm having trouble with the online portal for my student financial aid award account.,Finance,Medium
I am an international student and my health insurance is showing as inactive. I need to see a doctor today.,Administration,High
my canvas login isnt working and the final exam window closes in 45 minutes. i have already tried clearing my cache.,Technical,High
is there any way to change the meal plan from 14 meals a week to 19? i am always hungry.,Housing,Medium
The portal for study abroad applications is showing a database connection error for all students today. deadline is tonight.,Admissions,High
I'm looking for the book 'Principles of Neural Science'. The system says it's available but I can't find it on the shelf.,Library,Medium
my password for the university vpn is not working and i need to access the lab data for my project due tonight.,Technical,High
Exam registration portal error again.,Academic,Medium
name spelling slightly incorrect on ID card,Administration,Medium
How can I get a copy of the university's grading policy for a midterm essay I'm writing?,Academic,Low
There is a fire in the trash bin outside the library! Please call the fire department immediately!,Library,High
pls tell me if i can haz a late checkout for my dorm next month??,Housing,Low
i'm having trouble with the university's vpn on my laptop. it keeps saying connection failed.,Technical,Medium
my graduation application was denied because of an administrative error in my student record. i need this corrected before Saturday.,Administration,High
exam portal error and deadline is within hours,Academic,High
Could you please provide a list of the required immunizations for international students coming from Brazil?,Admissions,Low
I'm having trouble with the online portal for my student graduation ceremony registration account.,Administration,Medium
Refund for tuition overcharge not processed yet.,Finance,High
I am an international student and I'm having trouble with the Social Security Number application process. I need an endorsement letter from the university by tomorrow.,Admissions,High
i want to know the hours for the student health clinic. are they open on saturdays?,Admissions,Low
"My application portal shows that my recommendation letters are missing, but my professors said they sent them. What should I do?",Admissions,Medium
dorm gym usage schedule inquiry,Housing,Low
i am writing to follow up on my request for a verification of degree letter. i need it by friday for my new job's hr department.,Administration,Medium
exam location not showing on schedule,Academic,Medium
My roommate is being very loud and I can't study for my final exam which is tomorrow morning.,Housing,Medium
The student portal is giving me a 403 error on the final day of scholarship applications. I have 3 hours left to submit.,Technical,High
I am an international student and I'm confused about the tuition payment options for wire transfers from China.,Finance,Medium
hey can u tell me if the library has any group study rooms that i can book for tomorrow?,Library,Medium
my roommate left for the weekend with my keys and i am locked out of my room. i don't have my shoes or my phone. it's 2am.,Housing,High
i want to know if i can bring a microwave to my dorm room if it is under 800 watts? no hurry.,Housing,Low
I NEED AN OFFICIAL TRANSCRIPT FOR MY INTERNSHIP BY 5PM TODAY PLEASE!!!!!!!!!!!!,Academic,Medium
I am stuck in the compact shelving in the library basement. Someone moved the shelf while I was between them. Help!,Library,High
I would like to request a copy of the university's policy on email use and security.,Technical,Low
My scholarship was not applied to my account and I have a hold on my account. Tuition is due tomorrow morning.,Finance,High
I'm having trouble with the online portal for my student laptop loaner program.,Technical,Medium
The main gas line in the dormitory kitchen is leaking and i can smell it very strongly. we need help right now.,Housing,High
I NEED TO KNOW IF MY FINANCIAL AID HAS BEEN APPROVED SO I CAN BUY MY TEXTBOOKS!!!!!,Finance,Medium
URGENT PLEASE HELP!!! I forgot to pick up my mail and I'm worried it will be sent back!!! PLEASE HELP!!!,Administration,Low
I would like to know the deadline for applying for a student research award for the upcoming semester.,Academic,Low
"My graduation audit is showing that I am missing a core requirement, but I already took that class. Graduation is in two days and I need this cleared today.",Academic,High
the automatic door for the disability entrance is jammed and there is a student waiting outside in the rain. i am calm.,Administration,High
i want to know the deadline for dropping a class without it appearing on my transcript.,Academic,Medium
SOS!!!! I DROPPED MY RING DOWN THE SINK DRAIN!!!!!!!! PLEASE SEND SOMEONE NOW TO GET IT OUT!!!!!,Housing,Medium
My MFA device was stolen an hour ago. I have a midterm exam on the lockdown browser starting in 30 minutes and I cannot bypass the login.,Technical,High
I'm having trouble with the online portal for my student version control (Git) account.,Technical,Medium
I need my official transcript for a job background check due at 5 PM today. The electronic system says I have a hold.,Finance,High
i think my heater is broken its getting really cold in here tonight.,Housing,Medium
Could you please tell me how to find my student ID number on the portal?,Administration,Low
my student email account is not receiving any emails from my professors and i am missing all my assignment links.,Technical,High
Can I get a list of all the student organizations that are focused on student advocacy and student government?,Administration,Low
i am trying to register for classes but it says i have a financial hold. i don't owe any money.,Finance,High
"cannot access exam form, closes in few hours",Academic,High
I'm having a bit of trouble with the washing machines. It seems to have swallowed my quarters and won't start.,Housing,Low
pls confirm student enrollment certificate,Administration,Medium
the wifi in the library is down and the final exam for my online class starts in 10 minutes. i am currently in the building.,Technical,High
I am an international student and I need my I-20 travel endorsement by 3 PM today to keep my flight booking for tonight.,Administration,High
i need to change my official mailing address for the upcoming semester letters. the online form isn't saving my changes.,Administration,Medium
I need help with my FAFSA application; it says my parent's SSN is invalid.,Finance,Medium
hello i am unable to log into the chemistry lab portal and my pre-lab quiz is due in exactly thirty minutes. i have already tried resetting my password without success.,Technical,High
Do the admissions tour guides accept feedback on their walking speed? I have some thoughts for next year.,Admissions,Low
"I am unable to register for classes because the system says I am a 'Non-Degree' student, but I am in the PhD program. Registration closes today.",Academic,High
MFA authentication failing and assignment due soon,Technical,High
library booking clarification,Library,Low
I would like to inquire about the university's policy for student internships and credits.,Academic,Low
Can't access campus resources due to VPN failure.,Technical,High
The system keeps saying file too large when I try to upload my 1KB doc. Admissions deadline is in 20 mins. I am quite calm.,Technical,High
certificate format seems different than requested,Administration,Medium
"My financial aid was revoked by mistake. I was told I'm 'not enrolled', but I am. I need this corrected before the 5 PM payment cutoff.",Finance,High
my roommate has locked me out of the dorm and is threatening to throw my belongings into the hallway. i need an RA now.,Housing,High
How can I change my major from Psychology to Social Work before the next semester starts?,Academic,Medium
certificate not issued and required today urgently,Administration,High
dorm entry system offline cannot access building,Housing,High
The university's enrollment portal for the spring semester is showing an 'access denied' error for all international students today.,Admissions,High
I noticed that the light in the library stairwell is out and it's very dark in there. I'm worried about someone tripping and getting hurt.,Library,Medium
Grade portal showing wrong marks.,Academic,High
urgent admin letter needed today for legal filing,Administration,High
I found a credit card in the library bathroom. I have dropped it off at the front desk.,Library,Low
i'm looking for the university policy on poster placement. i want to put up flyers for my new club next week.,Administration,Low
certificate required for visa today not issued,Administration,High
I would like to apply for a tuition waiver because I am a university employee. How do I do that?,Finance,Low
OMG URGENT PLS HELP ME I CANT FIND THE PURPLE HIGHLIGHTERS IN THE STUDY STORE I AM LITERALLY GOING TO CRY PLS REPLY ASAP!!!!!!!!!,Administration,Low
I am unable to see my health insurance waiver status. I submitted it over a month ago but the charge is still on my bill.,Finance,Medium
Help! I accidentally deleted my entire cloud drive containing 4 years of research and my defense is tomorrow morning.,Technical,High
Is there a way to get a discount on a gym membership for students?,Administration,Low
What are the hours for the campus bookstore during the summer break?,Administration,Low
the portal is down and i need to check my financial aid status before i accept my offer. today is the last day.,Admissions,High
I need help with my application for a student grant for graduate research.,Academic,Low
PLS HELP WHAT ARE LIBRARY HOURS??,Library,Low
i can't access my online lab exam because of a 403 error. the exam is timed and i am losing points every minute.,Technical,High
Can you tell me if the library has a subscription to the New York Times?,Library,Low
I mistakenly paid for a parking permit that I don't need anymore. Can I get a refund?,Finance,Medium
cannot access exam registration system and it closes today,Academic,High
refund status not updated yet,Finance,Medium
my room has flooded due to a pipe burst and all my textbooks for finals are destroyed.,Housing,High
I'm having trouble with the VPN. It connects but then none of the university-internal websites will load on my Mac.,Technical,Medium
Are there any quiet study areas in the library that have standing desks?,Library,Low
Can I get a list of all the student organizations that are focused on student community engagement and diversity?,Administration,Low
PLEASE RESPOND ASAP I NEED TO KNOW IF THE CAFE HAS ANY VEGAN OPTIONS I AM SO HUNGRY HELP HELP HELP ME RIGHT NOW!!!!!!!,Housing,Medium
I would like to request a copy of the university's policy on software use and licensing.,Technical,Low
i'm tryin to find the syllabus for intro to psych but the link on the dept page is broken. idc when u fix it just lmk.,Academic,Medium
academic office info about student clubs,Academic,Low
I am trying to find a digital copy of the journal 'Advances in Psychology' but it's behind a paywall. Does the library provide access?,Library,Medium
The system for submitting letters of recommendation is down and the deadline is in three hours for my master's application.,Admissions,High
"MFA code missing, cannot log in.",Technical,High
How can I get a copy of the official university calendar for the next three years?,Administration,Low
I am a nursing student and my clinical placement is being revoked because my background check is 'pending'. I need this cleared by tomorrow morning.,Academic,High
I would like a review of my transfer credits. One of my courses from my previous institution seems to have been ignored.,Academic,Medium
"I would like to calmly report that the dormitory's main boiler is leaking steam into the hallway, which is causing burns.",Housing,High
I am writing to request a formal investigation into a grading error that is preventing my military deployment clearance.,Academic,High
my financial aid package was canceled because i didn't sign a form i never received. today is the final payment day.,Finance,High
System crashed submitting assignment.,Technical,High
The library is on lockdown due to a security threat nearby. We have no staff instructions and the doors are jammed.,Library,High
is there any specific protocol for requesting an official certificate for my parents' anniversary? they are both alumni.,Administration,Low
uploaded docs but unsure if received,Admissions,Medium
HELP MEEEEEE I NEED TO KNOW IF THE LIBRARY HAS COFFEE RIGHT NOW I AM SO TIRED PLEEEEASE!!!!!,Library,Low
my student id card has been deactivated for no reason and i cannot get into the dining hall tonight.,Administration,High
The university's email system is down and I need to send my final paper to my professor before the deadline in 15 minutes. Please help!,Technical,High
I would like to request a new wastebasket for my dorm room.,Housing,Low
i'm tryin to figure out how to get a student discount for the local bus pass. do i need a form from the admin office?,Administration,Low
file upload stalls midway sometimes,Technical,Medium
I would like to request a new chair for my dorm room. My current one is broken and it's quite unstable when I sit.,Housing,Low
course materials not accessible online,Academic,Medium
I would like to know the criteria for the dean's list for the social studies major students.,Academic,Low
Request for official enrollment letter.,Administration,Low
Tuition overpayment refund stuck.,Finance,High
dashboard missing some information fields,Technical,Medium
Are there any student positions available at the campus bookstore for the winter term?,Administration,Low
when is next tuition due date?,Finance,Low
i missed the deadline to drop a class because i was in the hospital. i have the doctors note here.,Academic,Medium
i'm tryin to find out if i can get a bigger chair for my desk bc this one is tiny. no rush tho thx.,Housing,Low
The bursar's office has charged me $500 for a meal plan that i never signed up for. i need this corrected tonight.,Finance,High
how do i request a replacement for my student id card if it's just cracked but still works fine for the bus?,Administration,Low
pls issue enrollment verification letter,Administration,Medium
"The bursar's office incorrectly charged me $5,000 for out-of-state tuition when I am a resident. I need this corrected before my bank account is debited tomorrow.",Finance,High
"I'm being charged $4,000 for a meal plan I cancelled. It�s blocking me from registering for my graduating semester.",Finance,High
Is there any way to get a larger desk in my room? The current one is a bit small for my dual-monitor setup.,Housing,Low
I need to talk to someone about my transcript evaluation. I think some of my transfer credits were not counted correctly.,Admissions,Medium
tuition payment not recorded and deadline is tonight,Finance,High
Grade portal shows wrong grades.,Academic,High
I am an international student and I need my I-20 travel signature today for my flight tonight at 9 PM. My family is in crisis.,Administration,High
my graduation status says 'Denied' even though I have all my credits. the ceremony is tomorrow and I already have my cap and gown.,Academic,High
academic office info on seminar participation,Academic,Low
login loop prevents submission before deadline,Technical,High
The university's application portal for the nursing program is rejecting all pdf uploads. the deadline is in four hours.,Admissions,High
can u tell me if there are any student jobs available in the finance office for the next semester? i'm an accounting major.,Finance,Low
dorm furniture adjustment request,Housing,Medium
My FAFSA was randomly selected for verification and I need to submit my parents' tax returns today to keep my aid for the spring.,Finance,High
I AM SCREAMING BECAUSE I CANT FIND MY DORM ROOM AND IT IS COLD OUTSIDE AND I AM TIRED HELP ME NOW!!!!!!!,Housing,Low
I noticed that the air conditioning in my dorm room is making a very loud rattling noise and it's keeping me awake during the night.,Housing,Medium
I am an international student and I'm confused about the health insurance waiver process and the specific deadlines.,Administration,Medium
I smell gas in the communal kitchen of the North Residence Hall. Everyone is evacuating.,Housing,High
"I am having a very calm day, but I must report that my scholarship funds were mistakenly sent back to the donor. If this is not resolved by Friday, my enrollment will be automatically cancelled.",Finance,High
"System crash while submitting assignment, urgent!",Technical,High
need correction on certificate minor typo,Administration,Medium
Dorm AC broken.,Housing,Medium
There is a person trying to break into the library through a window! Please send security immediately!,Library,High
acceptance confirmation missing before payment cutoff,Admissions,High
The library's elevator is out of order. i need to get to the second floor.,Library,Low
"Cannot access grades, portal shows error.",Academic,High
i have a question about the prerequisite for biology 202. can i take it concurrently with chemistry?,Academic,Medium
exam timetable conflict unresolved and exam tomorrow,Academic,High
How can I get a copy of the campus safety report for the last five years?,Administration,Low
OMGGGGG I NEED TO KNOW IF THE LIBRARY HAS PINK STICKY NOTES RIGHT NOW I AM DYING HELP ME PLS PLS PLS!!!!!!!!!!,Library,Low
I AM SCREAMING BECAUSE I CANT FIND MY ADMISSIONS INTERVIEW LINK AND IT STARTS IN FIVE MINUTES HELP ME NOW!!!!!!!,Admissions,Medium
The university's credit card portal for tuition is charging a 10% fee by mistake. i need this corrected before i pay tonight.,Finance,High
I am unable to see my final exam schedule and my first exam is on Monday.,Academic,Medium
the course registration system keeps crashing every time i click 'enroll'. registration for seniors closes in 2 hours.,Technical,High
requesting official certificate,Administration,Medium
The student portal is displaying my middle name incorrectly. I've tried changing it myself but the system won't let me.,Administration,Medium
my student id card is making a weird sound when i swipe it in the dining hall but it still lets me in. is that okay?,Technical,Low
the laundry machines in my dorm are all broken. when will they be fixed?,Housing,Medium
My roommate is being extremely aggressive and I don't feel safe staying in the room tonight. I need to be moved to temporary housing immediately.,Housing,High
"Refund stuck, tuition portal issue.",Finance,High
question about academic advising workshops,Academic,Low
i am calm but i need to report that my name is misspelled on the graduation certificates being printed tonight. please fix this.,Administration,High
payment plan not displaying full options,Finance,Medium
my scholarship disbursement is missing $500. i need this money to buy my textbooks for the semester.,Finance,Medium
What are the requirements for applying for the university's Honors Program?,Admissions,Low
I am being harassed by a non-student in the library study area. They are making threats and I am afraid to leave.,Library,High
exam submission system crashed before deadline,Academic,High
The printer on the 3rd floor of the library is out of ink and there's no staff around to replace it right now.,Library,Medium
"My bank says the wire transfer for my tuition was completed, but the school says it's missing and is canceling my visa sponsorship.",Finance,High
clarification on academic leave policy,Academic,Medium
The university's system for processing medical waivers for the meal plan is down and the deadline to avoid the charge is today.,Finance,High
I AM SCREAMING BECAUSE I CANT FIND THE LINK TO MY ONLINE EXAM AND IT STARTS IN FIVE MINUTES HELP ME NOW NOW NOW!!!!!!!,Technical,High
i am calm but i need to report that my name is misspelled on the graduation certificates being printed tonight.,Administration,High
Exam registration portal issues.,Academic,High
There is a person trying to break into the dormitory through a window! Please send security immediately!,Housing,High
I noticed that the water in the dorm communal bathroom is very hot and it seems dangerous for the student safety.,Housing,Medium
I would like to request a new wastebasket for my dorm room. My current one is cracked.,Housing,Low
I would like to request a copy of the university's graduation requirements for my major.,Academic,Low
What are the hours for the financial aid office on Fridays?,Finance,Low
i want to know the deadline for dropping a class without it appearing as a 'w'. is it today? thx.,Academic,Medium
no confirmation email received after applying,Admissions,Medium
Help!! I need the gym hours for tonight ASAP my workout partner is waiting!!!!,Administration,Low
student housing minor repair partially completed,Housing,Medium
can u tell me if the library has any copies of the book 'the prince' for my politics class next week?,Library,Low
The heating system in the North Dorm is blowing smoke into the rooms. We are all out in the cold. Please assist.,Housing,High
The student portal is down and I need to register for classes that close in 30 minutes. This is my last semester and I need these classes to graduate.,Technical,High
library archive access info request,Library,Low
I would like to apply for a student job in the admissions office.,Admissions,Low
